17.5258,-4.7077,8.943
10.842,-5.9384,7.529
12.6843,-5.6416,7.9572
13.6456,-1.2084,-5.3368
20.5775,-6.3564,-0.1573
14.9593,0.0839,-6.3892
13.1683,-7.4531,-0.6615
4.1799,-7.2473,0.4347
-9.1305,-4.4554,-7.4393
-10.798,-5.7844,-8.8181
-6.4237,-10.3297,-0.2779
13.0497,-5.432,8.7579
22.1511,-4.7763,8.5221
-31.6784,-12.5031,-4.4689
15.7117,-7.1848,4.6188
13.7099,-5.4621,-2.6295
5.3212,-7.7881,5.1361
-4.5502,-8.1211,-3.03
17.5326,-7.6484,1.7719
2.0814,-11.6978,0.3875
21.2409,-6.2538,3.0926
16.979,-1.4769,-5.4382
22.1515,-7.9509,0.6417
-14.5316,-12.7792,-0.723
