1.9906,-18.0304,-6.5629
1.4226,-2.9297,-1.9155
0.4149,-39.4098,-8.476
-1.2993,-8.6834,1.0003
-1.419,-42.507,-6.2741
-1.4273,-8.5504,-0.1502
-1.419,-42.507,-6.2741
-2.4921,-13.1264,-6.1311
-3.4933,-16.7731,-7.7101
1.2998,-7.3153,0.6343
2.4077,-42.2324,-5.6596
-3.409,-15.2557,-3.5835
-1.6051,-1.4054,-2.8226
-3.3713,0.1137,-1.1908
-1.8074,-6.826,-3.7983
-0.2525,-18.6294,-8.1224
0.8242,-9.5987,1.5965
1.691,-8.2289,-4.8286
-0.7034,-39.3465,-9.2756
-1.4273,-8.5504,-0.1502
-1.419,-42.507,-6.2741
-1.6051,-1.4054,-2.8226
-1.0527,0.6923,-1.0828
-1.6051,-1.4054,-2.8226
0.8002,-0.0181,0.4119
-1.6051,-1.4054,-2.8226
-3.3713,0.1137,-1.1908
