Abbreviation,Type,Frame,X (mm),Y (mm),Z (mm),Notes			
AB,Origin,Pelvis,17.501,-3.087,12.02				
AL,Origin,Pelvis,10.522,-5.42,8.854				
AM,Origin,Pelvis,17.954,-2.628,13.281				
BFa,Origin,Pelvis,19.501,-0.571,-5.385				
BFa,Via,Pelvis,19.878,-6.071,-2.285				
BFa,Via,Pelvis,19.844,-8.547,1.219				
BFp,Origin,Pelvis,22.456,-5.732,-0.362				
CF,Origin,Pelvis,14.103,-1.194,-6.141				
CF,Via,Pelvis,13.65,-5.582,-2.7				
CF,Via,Pelvis,12.48,-8.318,0.92				
GI,Origin,Pelvis,18.827,-4.85,-2.4				
GS,Origin,Pelvis,-12.003,-10.383,-1.711				
GMa,Origin,Pelvis,-7.391,-9.731,-2.277				
GMe,Origin,Pelvis,-18.604,-14,-4.228				
GMi,Origin,Pelvis,-16.508,-11.5,-1.771				
GA,Origin,Pelvis,19.282,-2.5,13.354				
GP,Origin,Pelvis,20.52,-4.773,8.583				
IP,Origin,Pelvis,-14.922,-10.319,1.129				
AB,Insertion,Femur,-7.993,-3.764,17				
AL,Insertion,Femur,-6.94,-3.6,15.053				
CF,Insertion,Femur,-8.599,-4.649,28.716				
EDL,Origin,Femur,-12.6,-4.181,31.579				
GI,Insertion,Femur,-2.764,-2.573,-0.624				
GS,Insertion,Femur,-4.996,-0.965,5.543				
GMa,Insertion,Femur,-9.394,-2.368,7.021				
GMe,Insertion,Femur,-7,0.931,-2.872				
GMi,Insertion,Femur,-6.595,0.979,-1.597				
IP,Insertion,Femur,-3.603,-1.128,3.751				
LG,Origin,Femur,-12.9,-3.824,29.6				
AM,Insertion,Tibia,-3,-8,-1.151				
BFa,Insertion,Tibia,1.844,-8.961,2.876				
BFp,Insertion,Tibia,0.048477,-13.338,-3.851				
BFp,Via,Tibia,0.864,-15.061,2.014				
EDL,Via,Tibia,3.324,-2.75,1.114				
EDL,Via,Tibia,0.622,-39.443,-9.139				
FDL,Origin,Tibia,-0.7,-6.64,2.559				
FDL,Via,Tibia,-1.135,-41.666,-6.5				
FHL,Origin,Tibia,-1.427,-8.55,0.486				
FHL,Via,Tibia,-1.952,-41.859,-6.38				
GA,Insertion,Tibia,-3.165,-9.661,-2.262				
GP,Insertion,Tibia,-3.246,-12.196,-3.335				
LG,Via,TIbia,3.517,-6.121,3.926				
